tweet_id,label,tweet_text
1.36034200296194E+018,1,a day dying from the so called covid �vaccine� reports vaccine pfizervaccine moderna
1.38289633488625E+018,2,pranam message for today manifested in dhyan by truth love karm light nature consciousness fridaythoughts fridaymorning coronavirusindia covidindia navratri thane ambedkarjayanti modiji narendramodi secondcovidwave covaxin
1.37567341184687E+018,2,hyderabadbased has sought funds from the government to ramp up production of its indigenously developed covid vaccine covaxin the company has written to the seeking rs crore to ramp up
1.38131090111929E+018,1,confirmation that chinese vaccines don�t have very high protection rates according to the director of the china centers for disease control gao fu sinovac effectiveness found to be as low as by researchers in brazil lt is not useful
1.36216555609119E+018,3,lab studies suggest pfizer moderna vaccines can protect against coronavirusvariant
1.35128509007732E+018,1,still want to take the jab pfizerbiontech sideeffects israelis suffer facial paralysis after taking pfizer covid jab amid influx of reports detailing adverse effects
1.37733340366669E+018,2,this time aerol�neas flight ar goes to moscow to pick up the sputnikv vaccines there were about flights between buenos aires argentina and moscow russia follow flight ar at radarbox aerol�neasargentinas vaccines radarbox
1.36334422108464E+018,3,covaxin effective against mutant virus strains icmr thanks to dr jee amp health minister dr harsh vardhan jee for promoting indias first indigenous covid vaccine from bharat biotech �
1.3725800128225E+018,3,safe and effective oxfordastrazeneca
1.3675067538905E+018,2,the day after the moderna covidvaccine my arm is a little sore and i am a little more fatigued than usual my grandparents had no noticeable effects though
1.38084252665611E+018,3,not a girl but part of the moderna club
1.38453562626811E+018,2,when we can get moderna and pfitzer vaccine in india
1.38155928910236E+018,2,cameroon receives doses of sinopharm covid vaccine cameroon sinopharm vaccines covid
1.3828447198483E+018,2,india at new cases of coronavirus with deaths in the last hours covid covid covidisairborne covaxin covid covid covidiots covidindia coronavirusindia coronacurfew corona worldometer covishield
1.3688717276279E+018,3,congrats to the amazing scientists who created coronavirus vaccines to end the pandemic science scientists pfizer moderna astrazeneca janssen cdnpoli
1.38200228321116E+018,2,covishield vs covaxin vs modernapfizer � science behind covid vaccines and careers in vaccineresearch
1.38290426574468E+018,2,ethealthworld haffkine institute gets nod to produce covaxin covaxin covidvaccine haffkineinstitute bharatbiotech production
1.383787759505E+018,3,embarrassing crimea russia everything is open business as usual ontario reporting cases of covid new cases in toronto lockdown closed business church no family no hope mentalhealth canada get out of syria sputnikv effective jesus
1.37772942678441E+018,2,officially a moderna gay
1.38237589103725E+018,3,breaking serbia starts sputnikv production rdif amp institute of virology vaccines and sera �torlak� join forces to bring more sputnik v vaccines to the world
1.36745018694404E+018,3,good day yesterday my year old dad got his second moderna shot such a relief
1.34705160324161E+018,3,got the pfizerbiontech vaccine
1.38204792116042E+018,2,abusing atmanirbhar bharat as a political tool has now forced us to import vaccines when in our great government peddled this warped concept to stop approved foreign vaccines from being sold in india while promoting and exporting covaxin before completing clinical trials
1.36735338869067E+018,3,it�s been about hrs since i received the nd dose of moderna and i feel fine im off the next two days then back to work on saturday hydrate vitaminc rest selfcare mindfulness wellbeing drinkwater mywhy covidvaccination igotmyshot
1.38154613897357E+018,3,sputnikv at efficiency is far ahead of covishield and covaxin
1.38217408798482E+018,3,one more to go firstdosedone moderna thankful
1.38287008251519E+018,2,i got the second dose of my moderna vaccine yesterday and so far the only side effect has been pretty bad but manageable soreness in the injected arm
1.37333904003705E+018,3,just got my nd moderna shot my mom amp grandma got johnsonandjohnson amp pfizer we have deathly allergies but had zero allergic or adverse reactions don�t let allergies stop you from getting the covidvaccine
1.36759925845565E+018,2,especially because we lack data on johnsonandjohnson vaccine efficacy specifically against the b variant which is fueling the current surge there is precedent to granting eua before final data from phase is available as in sputnikv and covaxin
1.34988884713662E+018,3,it happened covidvaccine pfizerbiontech igotmyvaccineatuhn uhn
1.3824514384886E+018,2,got my first dose of the moderna vaccine i�m not sure it�s working jeff bezos hasn�t sent in my check is this thing on sarcasm getvaccinated moderna covidvaccine
1.38317335346102E+018,2,tricare�s gotyour the safety of you and your family are our top priority on april pfizer and moderna vaccine appointments will be open to all who are eligible and authorized to receive a vaccine at sites visit covidvaccine
1.38189411354132E+018,2,russias covid vaccine sputnik v has been cleared for emergency use by the drugs controller general of india sputnikv covid russia india emergency emergencymedicine
1.38408412240291E+018,3,let us change the goal post so now this is between you and me and not related to cong or mms yes like covaxin they should have given emergency approval to sputnikv and maybe others and should have allowed people to pay and get vaccinated with vaccine of their choice
1.38158081142666E+018,2,sputnikv gets approval within days of s suggestion of fast tracking approval of other vaccines as per norms after mocking modi govt does exactly what he suggested resignation prasad should apologise and resign now
1.3744780397199E+018,3,just got my first vaccine moderna mahalo to for running such a smooth clinic in kona covidvaccine
1.37497435713125E+018,2,sinovac vaccine for provinces thailand
1.35945331224065E+018,2,mediafocus hungary is set to receive its first shipment of the chinese coronavirus jab sinopharm by the end of the month dailymail reported vaccine china
1.33918337256071E+018,3,starting today a new chapter begins at my hospital filled with hopes to end dark covid times amp joy of celebrating life covidvaccine pfizerbiontech mrnavaccine covidends
1.38155183027089E+018,2,dcgi will decide on the sec recommendation for sputnikv dr reddys which has collaborated with russias sovereign fund rdif conducted the bridge trial for sputnik v and has applied for emergency use if approved by dcgi this will be the third vaccine to be available in india
1.38381441101446E+018,3,researchers said the risk of cerebral venous thrombosis from the covid was approximately times higher compared to messenger rna vaccines times higher compared to the oxfordastrazeneca vaccine
1.36752890908916E+018,2,well this should decide the first country to send leftover uk oxfordastrazeneca other vaccines to our good friends in australia allies eyes family ties
1.38214304157044E+018,3,just got my second moderna covid shot it was empty thursday opens to everyone go getvaccinated covidvaccine covidvaccination it�s everybody�s turn now
1.38389298706359E+018,2,this guy just got his first dose of the moderna vaccine today i am now halfway closer to getting back to lawrence moderna sleeveupjoco
1.38299204668484E+018,2,anticovid update india becomes th country to authorise use of india set to produce mln doses of vaccine per month by summer serbia starts sputnikv production staysafe stopcovid
1.38431983363065E+018,2,astrazenica has substantially lower efficacy than pfizer or moderna while blood clot deaths are rare there have been some across all age groups vaccinated including those aged
1.37135882956532E+018,3,the astrazeneca vaccine causing blood clots what such nonsense my mother had her shot of it two weeks ago and only got a headache and fatigue after it and is now right as rein covidvaccine oxfordastrazeneca
1.37498691076286E+018,2,global covid cases have surpassed million with over million deaths the us remains the worsthit nation its cases have topped million zimbabwean president emmerson mnangagwa has received his first shot of china�s sinovac vaccine
1.38291835827902E+018,2,modi government go ahead in production of covaxin to maharashtra govt its bharatbiotech vaccine now said company too can produce but this also will take time
1.37665337986316E+018,3,and in other news just got my first dose of the modern covid vaccination tiny needle didnt feel a thing and im feeling absolutely fine afterwards take that you evil little bastard moderna covidvaccine
1.37861827498915E+018,2,the govt was pushed to corner to ban the russian sputnikv vaccine in ke amp
1.37290956142681E+018,3,first dose in affect moderna covidvaccine
1.36543934567563E+018,2,fwiw i�ll go with the shots of either pfizer or moderna jamp
1.35850823047804E+018,3,got my first jab yesterday and joined the million that have had theirs amazing organisation at local gp covid vaccine vaccination astrazeneca oxfordastrazeneca
1.37191762127324E+018,2,got my first moderna shot yesterday ask me how it went moderna vaccine
1.37038945732572E+018,2,covid vaccine access protest yesterday outside moderna in kendall square
1.37733731335779E+018,2,i bet he would love the worst case scenario and pfizerbiontech too
1.37357742788506E+018,2,team under guidance of amp in close coordination amp support of has been working relentlessly towards vaccinedelivery since jan as dcgi gave emergency use authorization to covishield amp covaxin tune in tmrw pm cet for an itw with mr gazder
1.369655441656E+018,2,goodmorning tweeps i woke up feeling very well again this morning i�m beginning to wonder if the moderna vaccine also fights longcovid symptoms i still have them and i absolutely crash around pm but something is going on i also woke up with fantain my head
1.37322660589255E+018,2,pakistan is using sinopharm this is the process after st dose person has to wait for days to get nd dose after nd dose wait days for vaccine to make antibodies person can get covid even after vaccination vaccination does not mean you will not get coronavirus
1.36626675606337E+018,2,heartiest congratulations sir you always lead from front and yes you have taken the vaccine when your turn actually came you did not take advantage of your position and took vaccine earlier or out of turn covaxin aatmanirbharbharat indiafightscorona
1.37941835318234E+018,2,americafirst no matter if people in rd world countries die from covid and its mutations like flies because moderna and johnsonandjohnson remain only in the usa nothing has changed
1.373765076424E+018,2,perhaps a trial run for the new ranger regt tier to recover about million doses of oxfordastrazeneca
1.37718681943175E+018,2,us and germany lead rampd funding covid astrazeneca pfizer moderna uk
1.37000159844178E+018,2,russia to restrict over failure to remove banned content reports �bn loss as pandemic shakes jetengine maker spains zendal may produce sputnikv vaccine big techs battle to fight pandemic misinformation in the eu isnt enough
1.38184760172996E+018,3,india has approved the use of the russian sputnikv covid vaccine the russian direct investment fund rdif said on monday covid covidvaccine omanobserver oman
1.36736165164164E+018,2,any update on sputnik coronavirus coronavirusvaccine sputnikv
1.38184569843859E+018,3,india gets rd covid vaccine as dcgi today approved sputnikv vaccine for emergency use making it the third covid vaccine to be registered in india
1.38239072495667E+018,3,i got my first moderna shot today
1.36640733131604E+018,2,two days and a few tylenol later i am feeling much better today moderna
1.38344490008815E+018,3,just got my first dose of the moderna vaccine
1.37064699545977E+018,2,for my nostalgic lebanese bros remember this old lebanese tv ad choubattaritak this will get you singing all day long sinovac rayovac
1.3718108206283E+018,2,indias defense budget is billion while pakistans budget is billion if your enemy is stronger than you you will teach children that weapons and missiles are useless lets kill the enemy with a slingshot think wisely everything will happen if you existsinopharm
1.3670065472477E+018,2,answers r not fake not fake fake lootttttoooooooo play now myntra bigcitygreens covaxin faug pubgmobileindia flipkart paytmholi paytmkaro
1.37373646511755E+018,3,guess who got vaccinated moderna shot out of vaccinessavelives covidvaccine
1.36624825941761E+018,2,india gears up for jab india todays shares this ground report from gurugram on how the drive is taking place itvideo coronavaccines covaxin covishield
1.34751975961364E+018,2,pfizerbiontech moderna and astrazeneca vaccines could be rolled out early next year we asked experts to explain the key differences and which could be the first to reach lowincome countries do also recommend
1.36474418155026E+018,2,pm confirms he will exceed his promise of m moderna doses for the st quarter updated vaccine deliveries moderna week march th k moderna week of march nd k moderna cdnpoli
1.35128155459362E+018,2,i am now a g enabled bobcat beep boop pfizerbiontech
1.36179804584378E+018,2,not so sure bc darpa funding development of implantable biochipthe chip is able to deploy experimental new vaccine developed jointly by moderna and us gov�t that could change human dna able to �reprogram��mrna aka �messenger ribonucleic acid� strange
1.3732447699929E+018,2,same here had mine this morning with the oxfordastrazeneca jab apart from a very slightly sore arm im feeling fine
1.37107348200871E+018,2,i was sick for days after nd shot of moderna shot fever body aches headaches whole body sore
1.37648176074202E+018,2,china on saturday reported having administered more than million doses of the covid vaccine so far across the country read more vaccine sinovac sinopharm
1.36624203772122E+018,2,pm modi gets coronavirus vaccine as second phase of inoculation begins in india hw english aiims covaxin featured pmmodi
1.37590329795407E+018,2,who is eating alone today because doug ford and trudeau toronto ontario canada forced you to stay home lockdown no family no business no church no hope no life mentalhealth order russia sputnikv get out of syria covid spring healthcare
1.38480901310002E+018,3,my mom finally got her nd dose of sinopharm vaccine her vaccination process is complete shell quarantine for another weeks to develop lifetime antibodies no side effects so far get yourself vaccinated follow sops thank you china covidvaccine covid pakistan
1.34813081742443E+018,3,buckle up buttercup the second pfizerbiontech dose is a bear my misgivings about very mild side effects with the first dose have now been alleviated sure beats the real thing though covid
1.36714159459238E+018,3,the the voice of the us hedge fund has mentioned sputnikv but like the rest of the canadian media has never asked trudeau why canada will not order safe cheap and effective sputnikv
1.37401895138717E+018,2,he is in the opposition and raise the issue his voice is heard for a sindh they are also importing sputnikv and chinese vaccine which will be given free if you have a better idea plz speak
1.35007653919136E+018,3,look what i got pfizerbiontech covidvaccine socialresponsibility spaceballs
1.37900966223473E+018,3,parents took the second dose of covaxin today smooth process turnaround time of hours can�t thank the healthcare professionals enough
1.34887691653579E+018,2,a simple video comparing the covid vaccines currently available in the uk the three covid vaccines are from pfizerbiontech the uni of oxford amp astrazeneca and moderna covidvaccination covidvaccine pfizerbiontech oxfordastrazeneca moderna
1.37188889659903E+018,2,hrs after nd moderna shot and i feel good hrs after shot i was fatigued with a little brain fog no cough fever or chills woke up today feeling ok arm sore with small skin rashreaction around injection slight headache amp brain fog offon all in all i�m good vax
1.37385340274089E+018,2,their plan all along gates eugenics worldeconomicforum klausschwab cdc nih niaid fauci bigpharma moderna covid covid covidvaccine
1.38271726495311E+018,2,all californians are eligible for the covid vaccine from april how and where to get vaccinatedpart vaccine covid covidvacccine covid coronaviruspandemic coronavirus pfizer moderna johnsonandjohnson getvaccinated
1.36476342656052E+018,3,incredibly grateful to miramar health clinic pasco for prioritizing educators despite state denial of need the waiting room felt like a districtwide plc edchat pln covid moderna notthrowingawaymyshot
1.38329341058123E+018,2,biovaccines from the current production of crore dosesmonth the covaxin vaccine capacity will be doubled by mayjune amp then increased nearly fold up to crore vaccine doses by july � august more via
1.35923437181174E+018,2,left the house in this � weather and crazy slick roads and got stuck in the arm with my second moderna vaccine vaccine
1.38003574533165E+018,2,covaxin generally medicine used to cure illness first time its being used to get vote no names here
1.38059610297876E+018,2,vaccine tracker covid share of injection by region and moderna in italy uptodate vaccini moderna covid
1.37277271519141E+018,2,wealth morning marth headline pakistan received a chinese donation of doses of sinopharm vaccine bringing the countrys total supply to million shots health minister faisal sultan said
1.38089633575116E+018,3,embarrassing moscow russia everything is open business as usual ontario canada reporting cases of covid new cases in toronto lockdown closed business church no family no hope mentalhealth canada get out of syria sputnikv effective
1.37850690173921E+018,2,nd covid vaccine done covidvaccination covidvaccineday moderna nddose
1.35955573136471E+018,2,russia�s coronavirus death toll rises to russia moscow coronavac sputnikv
1.3818920719303E+018,2,breaking big vaccine update after approving sputnikv more foreign vaccines are lively to be given emergency use authorization in indiagovt is looking to expand basket of vaccines in order to ramp up the vaccinationdrive n vaccineshortage vaccinateeveryindian
1.38089258043566E+018,2,ok so feeling the arm soreness today but not too bad still feel more tired than normal and dealing with nasal issues but just think that�s due to allergies more than anything so all in all not too awful but noticeable hoping the second one is easier moderna
1.35828556280594E+018,2,article hugely boosted sputnikv vaccine image in the eu we are already witnessing a race not only to procure it when approved by ema but to produce it as well germany austria slovakia all have shown interest in domestically producing it russia
1.37209177424465E+018,2,moderna starts covid vaccine trials on sixmonthold babies ted talk by the cmo of moderna therapeutics tal zaks on rewriting the genetic code mrna injections and hacking the software of life
1.37724574562813E+018,3,you have more side effects from refined oils alcohol amp smoke than a vaccine but nobody questions the side effects of them got vaccinated covaxin yesterday slight fatigue amp pain just like we would get after any vaccine if you are eligiblego ahead
